product,rating,rating count,price,product_url
"AmazonBasics USB 2.0 A-Male to Micro B Charger Cable (2 Pack), 6 feet, Black  ",4.6 out of 5 stars,"9,314  ",11.18,https://amazon.ca/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A09006882VBN0MF6IAEXY&url=%2FAmazonBasics-Male-Micro-Cable-Black%2Fdp%2FB071S5NPG9%2Fref%3Dsr_1_1_sspa%3Fkeywords%3Dmicro%2Busb%26qid%3D1656174673%26sr%3D8-1-spons%26psc%3D1&qualifier=1656174673&id=126635983520266&widgetName=sp_atf
"Micro USB Cable 【6.6Feet】USB A Male to Micro B Male Cable Android Charger (Aramid Fiber & Double Braided Nylon) for Samsung, Nexus, LG, Motorola, Android Smartphones and More (Gray)  ",4.7 out of 5 stars,4.7 out of 5 stars ,6.99,https://amazon.ca/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A04845622ND96OJJW2F7W&url=%2F%25E3%2580%25906-6Feet%25E3%2580%2591USB-Android-Charger-Motorola-Smartphones%2Fdp%2FB099K78GW4%2Fref%3Dsr_1_2_sspa%3Fkeywords%3Dmicro%2Busb%26qid%3D1656174673%26sr%3D8-2-spons%26psc%3D1&qualifier=1656174673&id=126635983520266&widgetName=sp_atf
"UGREEN Micro USB Cable Nylon Braided Fast Quick Charger USB to Micro USB 2.0 Android Charging Cord for Galaxy S7 S6 S5 Edge A10, J3 Prime, Redmi Note 5 Pro, PS4, Xbox One Controller(1.5ft, Black)  ",4.6 out of 5 stars,"24,224  ",7.99,https://amazon.ca/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A04191132BE5HYRS4GTWD&url=%2FUGREEN-Braided-Charger-Charging-Controller%2Fdp%2FB0773N757H%2Fref%3Dsr_1_3_sspa%3Fkeywords%3Dmicro%2Busb%26qid%3D1656174673%26sr%3D8-3-spons%26psc%3D1&qualifier=1656174673&id=126635983520266&widgetName=sp_atf
"Micro USB Cable 【6.6Feet】USB A Male to Micro B Male Cable Android Charger (Aramid Fiber & Double Braided Nylon) for Samsung, Nexus, LG, Motorola, Android Smartphones and More (Gray)  ",4.7 out of 5 stars,4.7 out of 5 stars ,6.99,https://amazon.ca/%E3%80%906-6Feet%E3%80%91USB-Android-Charger-Motorola-Smartphones/dp/B099K78GW4/ref=sr_1_5?keywords=micro+usb&qid=1656174673&sr=8-5
"Micro USB Cable 3Pack 6.6ft USB to Micro USB 2.0 Nylon Braided Fast Quick Charger Cord for PS4, Samsung Galaxy S7 S6, Note, LG, Nexus, Nokia, Xbox One Controlle and More  ",4.4 out of 5 stars,195  ,12.59,https://amazon.ca/Braided-Charger-Samsung-Galaxy-Controlle/dp/B08J3QCR8X/ref=sr_1_6?keywords=micro+usb&qid=1656174673&sr=8-6
"Rankie Micro USB Cable High Speed Data and Charging, Nylon Braided, 3 Feet, 3-Pack  ",4.4 out of 5 stars,"18,276  ",11.99,https://amazon.ca/Rankie-Micro-Charging-Braided-3-Pack/dp/B01JPDTZXK/ref=sr_1_7?keywords=micro+usb&qid=1656174673&sr=8-7
"UGREEN Micro USB Cable Nylon Braided Fast Quick Charger USB to Micro USB 2.0 Android Charging Cord for Galaxy S7 S6 S5 Edge A10, J3 Prime, Redmi Note 5 Pro, PS4, Xbox One Controller(1.5ft, Black)  ",4.6 out of 5 stars,"24,224  ",7.99,https://amazon.ca/UGREEN-Braided-Charger-Charging-Controller/dp/B0773N757H/ref=sr_1_8?keywords=micro+usb&qid=1656174673&sr=8-8
"Micro USB Cable, Charging Cable Super Long Fast Charging Speed 10ft 3 Pack, Micro USB Charger Cable, Compatible with Samsung HTC, Sony, Galaxy, LG, PS4, Android and Others, Nylon Braided Cables  ",4.5 out of 5 stars,369  ,16.99,https://amazon.ca/Charging-Charger-Compatible-Samsung-Android/dp/B08HMXCXW3/ref=sr_1_9?keywords=micro+usb&qid=1656174673&sr=8-9
"Anker [3-Pack] Powerline Micro USB (3ft) - One of The World's Fastest, Most Durable Charging Cable [Assorted Lengths] for Samsung, Nexus, LG, Motorola, Android Smartphones and More (Black)  ",4.6 out of 5 stars,"3,015  ",15.99,https://amazon.ca/Anker-3-Pack-PowerLine-Micro-USB/dp/B015MJLEUS/ref=sr_1_10?keywords=micro+usb&qid=1656174673&sr=8-10
"Micro USB Cable Aioneus Android Charger Cable [3-Pack, 6 ft] Micro USB Cord Nylon Braided Fast USB Charging Cable Compatible with Samsung Galaxy S7/S6, Xbox One, Huawei, Sony, Nexus, HTC, PS4 and More - Blue, Green, Orange  ",4.3 out of 5 stars,"1,402  ",13.99,https://amazon.ca/iPhone-Charger-Rephoenix-Lightning-Charging/dp/B06ZZ465R4/ref=sr_1_11?keywords=micro+usb&qid=1656174673&sr=8-11
"Siwket Micro USB Charging Cable 3M Braided USB A to Micro Android Charger Cable Data Sync Cord for Samsung Galaxy J7,S7,S6,Kindle Fire,Fire HD Tablets,PS4 Controller,Sony,HTC,LG,Motorola,Huawei Grey  ",4.5 out of 5 stars,"2,352  ",6.99,https://amazon.ca/Siwket-Charging-Braided-Controller-Motorola/dp/B08CBDZM6L/ref=sr_1_12?keywords=micro+usb&qid=1656174673&sr=8-12
"Micro USB Charging Cable,[4-Pack 2X3.3ft 6.6ft 10ft] USB A to Micro High Speed Charger Cable Braided Android Charge Cord Data Sync Compatible for Samsung Galaxy J7,S7,S6,Note 5,Kindle Fire,PS4 Controller,Moto,Sony,HTC,LG,Android Smartphones and More Micro Charging Ports Devices -Grey  ",4.5 out of 5 stars,323  ,16.99,https://amazon.ca/Charging-2X3-3ft-Compatible-Controller-Smartphones/dp/B08BPC8Z65/ref=sr_1_13?keywords=micro+usb&qid=1656174673&sr=8-13
"Anker Powerline+ Micro USB (10ft) The Premium, Fast, Durable Cable [Aramid Fiber & Double Braided Nylon] for Samsung, Nexus, LG, Motorola, Android Smartphones and More (Gray)  ",4.6 out of 5 stars,"29,347  ",17.99,https://amazon.ca/Anker-PowerLine-Premium-Motorola-Smartphones/dp/B019Q6Y2MK/ref=sr_1_14?keywords=micro+usb&qid=1656174673&sr=8-14
"Extra Long Micro USB Cable 5M,ANMIEL Android Fast Charging Cable,Braided USB Charger Sync Cord for Samsung Galaxy S6/S7,Xbox One S/X,PS4/PS4 Pro /PS4 Slim Controllers,Nexus, Sony Phone etc  ",4.5 out of 5 stars,142  ,9.99,https://amazon.ca/ANMIEL-Android-Charging-Braided-Controllers/dp/B09FF5NVG7/ref=sr_1_15?keywords=micro+usb&qid=1656174673&sr=8-15
"Micro USB Cable 【6.6Feet】USB A Male to Micro B Male Cable Android Charger (Aramid Fiber & Double Braided Nylon) for Samsung, Nexus, LG, Motorola, Android Smartphones and More (Gray)  ",4.7 out of 5 stars,162  ,6.99,https://amazon.ca/%E3%80%906-6Feet%E3%80%91USB-Android-Charger-Motorola-Smartphones/dp/B099K78GW4/ref=sxin_24_ac_d_rm?ac_md=0-0-bWljcm8gdXNi-ac_d_rm_rm_rm&content-id=amzn1.sym.53f5f071-321e-4adc-a9c3-34b734db640f%3Aamzn1.sym.53f5f071-321e-4adc-a9c3-34b734db640f&cv_ct_cx=micro+usb&keywords=micro+usb&pd_rd_i=B099K78GW4&pd_rd_r=7d01d0c4-204e-4e1e-b4dc-94c1d76d0ee2&pd_rd_w=V13aM&pd_rd_wg=LTbQ1&pf_rd_p=53f5f071-321e-4adc-a9c3-34b734db640f&pf_rd_r=6Q1CN912PJHH098XW3CK&psc=1&qid=1656174673&sr=1-1-7d9bfb42-6e38-4445-b604-42cab39e191b
"USB C Cable Aioneus [2-Pack 6ft Black] Fast Type C Charging Cord Nylon Braided Charger Cable Compatible with Samsung Galaxy S20 Fe/S10/S9/S8+/A20/A50/A70, Lg Velvet/ V20/ G8/G7/G6/Stylo 4/5/6, Moto G8/Z3/Z4 and More  ",4.3 out of 5 stars,"16,000  ",12.99,https://amazon.ca/Cable%E3%80%902-Charger-Charging-Samsung-Nintendo/dp/B07WC3ZMF1/ref=sxin_24_ac_d_rm?ac_md=1-1-c2Ftc3VuZyBjaGFyZ2VyIGNhYmxl-ac_d_rm_rm_rm&content-id=amzn1.sym.53f5f071-321e-4adc-a9c3-34b734db640f%3Aamzn1.sym.53f5f071-321e-4adc-a9c3-34b734db640f&cv_ct_cx=micro+usb&keywords=micro+usb&pd_rd_i=B07WC3ZMF1&pd_rd_r=7d01d0c4-204e-4e1e-b4dc-94c1d76d0ee2&pd_rd_w=V13aM&pd_rd_wg=LTbQ1&pf_rd_p=53f5f071-321e-4adc-a9c3-34b734db640f&pf_rd_r=6Q1CN912PJHH098XW3CK&psc=1&qid=1656174673&sr=1-2-7d9bfb42-6e38-4445-b604-42cab39e191b
"AmazonBasics USB 2.0 A-Male to Micro B Charger Cable (2 Pack), 6 feet, Black  ",4.6 out of 5 stars,"9,314  ",11.18,https://amazon.ca/AmazonBasics-Male-Micro-Cable-Black/dp/B071S5NPG9/ref=sxin_24_ac_d_rm?ac_md=2-2-bWljcm8gdXNiIDZmdA%3D%3D-ac_d_rm_rm_rm&content-id=amzn1.sym.53f5f071-321e-4adc-a9c3-34b734db640f%3Aamzn1.sym.53f5f071-321e-4adc-a9c3-34b734db640f&cv_ct_cx=micro+usb&keywords=micro+usb&pd_rd_i=B071S5NPG9&pd_rd_r=7d01d0c4-204e-4e1e-b4dc-94c1d76d0ee2&pd_rd_w=V13aM&pd_rd_wg=LTbQ1&pf_rd_p=53f5f071-321e-4adc-a9c3-34b734db640f&pf_rd_r=6Q1CN912PJHH098XW3CK&psc=1&qid=1656174673&sr=1-3-7d9bfb42-6e38-4445-b604-42cab39e191b
"Micro USB Cable, FONKEN USB to Micro USB Cable [6-Pack, 1FT 3.3FTx3 6.6FT 10FT] Nylon Braided USB 2.0 Fast Data Sync & Charging Cord for Compatible Samsung, HTC, LG, Sony, Nexus, Nokia (Black)  ",4.4 out of 5 stars,"1,725  ",15.99,https://amazon.ca/FONKEN-3-3FTx3-Braided-Charging-Compatible/dp/B01N5FMY50/ref=sxin_24_ac_d_rm?ac_md=4-3-bWljcm8gdXNiIHBhY2s%3D-ac_d_rm_rm_rm&content-id=amzn1.sym.53f5f071-321e-4adc-a9c3-34b734db640f%3Aamzn1.sym.53f5f071-321e-4adc-a9c3-34b734db640f&cv_ct_cx=micro+usb&keywords=micro+usb&pd_rd_i=B01N5FMY50&pd_rd_r=7d01d0c4-204e-4e1e-b4dc-94c1d76d0ee2&pd_rd_w=V13aM&pd_rd_wg=LTbQ1&pf_rd_p=53f5f071-321e-4adc-a9c3-34b734db640f&pf_rd_r=6Q1CN912PJHH098XW3CK&psc=1&qid=1656174673&sr=1-4-7d9bfb42-6e38-4445-b604-42cab39e191b
"AmazonBasics XLR Male to Female Microphone Cable - 25 Feet, Black  ",4.7 out of 5 stars,"29,339  ",17.47,https://amazon.ca/AmazonBasics-Male-Female-Microphone-Cable/dp/B01JNLUMMW/ref=sxin_25_trfobq2a_0_B01JNLUMMW?content-id=amzn1.sym.9993a9d9-676b-458e-9b7b-b37a30312f07%3Aamzn1.sym.9993a9d9-676b-458e-9b7b-b37a30312f07&cv_ct_cx=micro+usb&keywords=micro+usb&pd_rd_i=B01JNLUMMW&pd_rd_r=7d01d0c4-204e-4e1e-b4dc-94c1d76d0ee2&pd_rd_w=drvVJ&pd_rd_wg=LTbQ1&pf_rd_p=9993a9d9-676b-458e-9b7b-b37a30312f07&pf_rd_r=6Q1CN912PJHH098XW3CK&qid=1656174673&sr=1-1-c944532c-3909-4a2a-84a2-570d2ee3cd13
Amazon Basics Z25K USB 3.0 Cable - A-Male to Micro-B - 6 Feet (1.8 Meters)  ,4.5 out of 5 stars,"44,364  ",14.49,https://amazon.ca/AmazonBasics-USB-3-0-Cable-Male/dp/B00NH12R1O/ref=sxin_25_trfobq2a_1_B00NH12R1O?content-id=amzn1.sym.9993a9d9-676b-458e-9b7b-b37a30312f07%3Aamzn1.sym.9993a9d9-676b-458e-9b7b-b37a30312f07&cv_ct_cx=micro+usb&keywords=micro+usb&pd_rd_i=B00NH12R1O&pd_rd_r=7d01d0c4-204e-4e1e-b4dc-94c1d76d0ee2&pd_rd_w=drvVJ&pd_rd_wg=LTbQ1&pf_rd_p=9993a9d9-676b-458e-9b7b-b37a30312f07&pf_rd_r=6Q1CN912PJHH098XW3CK&qid=1656174673&sr=1-2-c944532c-3909-4a2a-84a2-570d2ee3cd13
"Amazon Basics USB 2.0 A-Male to Micro B Cable - 3-Foot, Black, 5-Pack  ",4.5 out of 5 stars,195  ,19.49,https://amazon.ca/AmazonBasics-Male-Micro-Cable-5-Pack/dp/B07QB6KL85/ref=sxin_25_trfobq2a_2_B07QB6KL85?content-id=amzn1.sym.9993a9d9-676b-458e-9b7b-b37a30312f07%3Aamzn1.sym.9993a9d9-676b-458e-9b7b-b37a30312f07&cv_ct_cx=micro+usb&keywords=micro+usb&pd_rd_i=B07QB6KL85&pd_rd_r=7d01d0c4-204e-4e1e-b4dc-94c1d76d0ee2&pd_rd_w=drvVJ&pd_rd_wg=LTbQ1&pf_rd_p=9993a9d9-676b-458e-9b7b-b37a30312f07&pf_rd_r=6Q1CN912PJHH098XW3CK&qid=1656174673&sr=1-3-c944532c-3909-4a2a-84a2-570d2ee3cd13
"AmazonBasics Double Braided Nylon USB 2.0 A to Micro B Charger Cable | 6 Feet, Red  ",4.5 out of 5 stars,"23,992  ",16.45,https://amazon.ca/AmazonBasics-Double-Braided-Nylon-Micro/dp/B074VN744L/ref=sxin_25_trfobq2a_3_B074VN744L?content-id=amzn1.sym.9993a9d9-676b-458e-9b7b-b37a30312f07%3Aamzn1.sym.9993a9d9-676b-458e-9b7b-b37a30312f07&cv_ct_cx=micro+usb&keywords=micro+usb&pd_rd_i=B074VN744L&pd_rd_r=7d01d0c4-204e-4e1e-b4dc-94c1d76d0ee2&pd_rd_w=drvVJ&pd_rd_wg=LTbQ1&pf_rd_p=9993a9d9-676b-458e-9b7b-b37a30312f07&pf_rd_r=6Q1CN912PJHH098XW3CK&qid=1656174673&sr=1-4-c944532c-3909-4a2a-84a2-570d2ee3cd13
AmazonBasics USB Type-C to Micro-B 2.0 Short Charger Cable - 6 Inches (15.2 Centimeters) - Black  ,4.4 out of 5 stars,"4,710  ",8.29,https://amazon.ca/AmazonBasics-USB-Type-C-Micro-B-Cable/dp/B01LONQ7R6/ref=sxin_25_trfobq2a_4_B01LONQ7R6?content-id=amzn1.sym.9993a9d9-676b-458e-9b7b-b37a30312f07%3Aamzn1.sym.9993a9d9-676b-458e-9b7b-b37a30312f07&cv_ct_cx=micro+usb&keywords=micro+usb&pd_rd_i=B01LONQ7R6&pd_rd_r=7d01d0c4-204e-4e1e-b4dc-94c1d76d0ee2&pd_rd_w=drvVJ&pd_rd_wg=LTbQ1&pf_rd_p=9993a9d9-676b-458e-9b7b-b37a30312f07&pf_rd_r=6Q1CN912PJHH098XW3CK&qid=1656174673&sr=1-5-c944532c-3909-4a2a-84a2-570d2ee3cd13
AmazonBasics Professional USB Condenser Microphone - Black  ,4.3 out of 5 stars,186  ,182.82,https://amazon.ca/AmazonBasics-Professional-USB-Condenser-Microphone/dp/B076ZXYG17/ref=sxin_25_trfobq2a_5_B076ZXYG17?content-id=amzn1.sym.9993a9d9-676b-458e-9b7b-b37a30312f07%3Aamzn1.sym.9993a9d9-676b-458e-9b7b-b37a30312f07&cv_ct_cx=micro+usb&keywords=micro+usb&pd_rd_i=B076ZXYG17&pd_rd_r=7d01d0c4-204e-4e1e-b4dc-94c1d76d0ee2&pd_rd_w=drvVJ&pd_rd_wg=LTbQ1&pf_rd_p=9993a9d9-676b-458e-9b7b-b37a30312f07&pf_rd_r=6Q1CN912PJHH098XW3CK&qid=1656174673&sr=1-6-c944532c-3909-4a2a-84a2-570d2ee3cd13
"AmazonBasics Double Braided Nylon USB Type-C to Micro-B 2.0 Male Charger Cable | 1 foot, Dark Grey  ",4.5 out of 5 stars,"7,714  ",14.29,https://amazon.ca/AmazonBasics-Double-Braided-Type-C-Micro-B/dp/B07CWH4YK2/ref=sxin_25_trfobq2a_6_B07CWH4YK2?content-id=amzn1.sym.9993a9d9-676b-458e-9b7b-b37a30312f07%3Aamzn1.sym.9993a9d9-676b-458e-9b7b-b37a30312f07&cv_ct_cx=micro+usb&keywords=micro+usb&pd_rd_i=B07CWH4YK2&pd_rd_r=7d01d0c4-204e-4e1e-b4dc-94c1d76d0ee2&pd_rd_w=drvVJ&pd_rd_wg=LTbQ1&pf_rd_p=9993a9d9-676b-458e-9b7b-b37a30312f07&pf_rd_r=6Q1CN912PJHH098XW3CK&qid=1656174673&sr=1-7-c944532c-3909-4a2a-84a2-570d2ee3cd13
"AmazonBasics 3 Pin Microphone Cable - 10 Feet, Silver  ",4.6 out of 5 stars,"2,204  ",18.88,https://amazon.ca/AmazonBasics-Braided-Microphone-Cable-10-Foot/dp/B07D49TN8D/ref=sxin_25_trfobq2a_7_B07D49TN8D?content-id=amzn1.sym.9993a9d9-676b-458e-9b7b-b37a30312f07%3Aamzn1.sym.9993a9d9-676b-458e-9b7b-b37a30312f07&cv_ct_cx=micro+usb&keywords=micro+usb&pd_rd_i=B07D49TN8D&pd_rd_r=7d01d0c4-204e-4e1e-b4dc-94c1d76d0ee2&pd_rd_w=drvVJ&pd_rd_wg=LTbQ1&pf_rd_p=9993a9d9-676b-458e-9b7b-b37a30312f07&pf_rd_r=6Q1CN912PJHH098XW3CK&qid=1656174673&sr=1-8-c944532c-3909-4a2a-84a2-570d2ee3cd13
"Anker [6-Pack] Powerline Micro USB - Compatible with Samsung, Nexus, LG, Motorola, Android Smartphones and More (Black)  ",4.6 out of 5 stars,"2,888  ",19.99,https://amazon.ca/Anker-6-Pack-PowerLine-Micro-USB/dp/B015XPU7RC/ref=sr_1_16?keywords=micro+usb&qid=1656174673&sr=8-16
"SURRI Micro USB Cable Android, Micro to USB Cable 5 Pack (3FT 3FT 6FT 6FT 10FT) Nylon Braided Sync and Fast Charging Cord Compatible Android Smartphones Tablets Wall and Car Charger, Galaxy S7/6 and More  ",4.3 out of 5 stars,209  ,14.39,https://amazon.ca/SURRI-Android-Charging-Compatible-Smartphones/dp/B07SGKW2H5/ref=sr_1_17?keywords=micro+usb&qid=1656174673&sr=8-17
StarTech.com Left Angle Micro USB Cable – 1 ft / 0.5m – 90 degree – USB Cord – USB Charger Cable – USB to Micro USB Cable (USBAUB50CMLA)  ,4.3 out of 5 stars,226  ,16.29,https://amazon.ca/StarTech-com-Left-Angle-Micro-Cable/dp/B071P99Q65/ref=sr_1_18?keywords=micro+usb&qid=1656174673&sr=8-18
"AmazonBasics USB 2.0 A-Male to Micro B Charger Cable, 3 feet, Black  ",4.6 out of 5 stars,"23,985  ",7.75,https://amazon.ca/AmazonBasics-Male-Micro-Cable-Black/dp/B0711PVX6Z/ref=sr_1_19?keywords=micro+usb&qid=1656174673&sr=8-19
"AmazonBasics USB 2.0 A-Male to Micro B Charger Cable (2 Pack), 6 feet, Black  ",4.6 out of 5 stars,"9,314  ",11.18,https://amazon.ca/AmazonBasics-Male-Micro-Cable-Black/dp/B071S5NPG9/ref=sr_1_20?keywords=micro+usb&qid=1656174673&sr=8-20
"AmazonBasics USB 2.0 A-Male to Micro B Charger Cable, 10 feet, Black  ",4.6 out of 5 stars,"11,516  ",9.38,https://amazon.ca/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A0216354JGW4243COWHO&url=%2FAmazonBasics-Male-Micro-Cable-Black%2Fdp%2FB071S5NTDR%2Fref%3Dsr_1_21_sspa%3Fkeywords%3Dmicro%2Busb%26qid%3D1656174673%26sr%3D8-21-spons%26psc%3D1&qualifier=1656174673&id=126635983520266&widgetName=sp_mtf
Sabrent [6-Pack 22AWG Premium 1ft Micro USB Cables High Speed USB 2.0 A Male to Micro B Sync and Charge Cables [Black] (CB-UM61)  ,4.6 out of 5 stars,"1,632  ",12.98,https://amazon.ca/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A04896912XBISN7J945P2&url=%2FSabrent-6-Pack-Premium-Cables-CB-UM61%2Fdp%2FB011KMSNXM%2Fref%3Dsr_1_22_sspa%3Fkeywords%3Dmicro%2Busb%26qid%3D1656174673%26sr%3D8-22-spons%26psc%3D1%26smid%3DA29Y8OP2GPR7PE&qualifier=1656174673&id=126635983520266&widgetName=sp_mtf
"Pofesun USB C Cable 90 Degree Right Angle 3-Pack 10ft Braided USB A to USB C Fast Charging Type C Charger Compatible for Samsung Galaxy S20 S10 S9 S8 Plus Note10 9 8 LG G8 G6 V40 V30-Blue,Green,Purple  ",4.6 out of 5 stars,370  ,15.99,https://amazon.ca/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A04830273BFZ810184VLT&url=%2FPofesun-Braided-Charging-Compatible-V30-Blue%2Fdp%2FB08LVDD4TK%2Fref%3Dsr_1_23_sspa%3Fkeywords%3Dmicro%2Busb%26qid%3D1656174673%26sr%3D8-23-spons%26psc%3D1&qualifier=1656174673&id=126635983520266&widgetName=sp_mtf
"USB Computer Microphone with Mic Gain Knob, MAONO AU-PM461 Condenser Podcast Recording Mic for PC, Gaming, Voice Over, Streaming Twitch, Skype, YouTube  ",4.4 out of 5 stars,252  ,29.99,https://amazon.ca/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A09669618HQF7Y656WXT&url=%2FMicrophone-MAONO-AU-PM461TR-Condenser-Recording%2Fdp%2FB08G4FCV3Y%2Fref%3Dsr_1_24_sspa%3Fkeywords%3Dmicro%2Busb%26qid%3D1656174673%26sr%3D8-24-spons%26psc%3D1&qualifier=1656174673&id=126635983520266&widgetName=sp_mtf
"[2-Pack] Anker 6ft / 1.8m Nylon Braided Tangle-Free Micro USB Cable with Gold-Plated Connectors for Android, Samsung, HTC, Nokia, Sony and More (Red)  ",4.4 out of 5 stars,"22,826  ",17.99,https://amazon.ca/Anker-Braided-Tangle-Free-Gold-Plated-Connectors/dp/B01DEMTOQ6/ref=sr_1_25?keywords=micro+usb&qid=1656174673&sr=8-25
